Data,Valor,Mês,Ano,Mês-Ano,ano_valido,Valor_ano_valido,Verific_7dias,Média 7dias,,,,,,Código=,3051011
01/01/61,"0,40",1,1961,jan-61,1961,"0,4",1,"1,2",,,,,,,
02/01/61,"0,00",1,1961,jan-61,1961,0,1,"1,14285714285714",,,,,,,
03/01/61,"0,20",1,1961,jan-61,1961,"0,2",1,"1,14285714285714",,,,,,,
04/01/61,"2,40",1,1961,jan-61,1961,"2,4",1,"4,95714285714286",,,,,,,
05/01/61,"0,00",1,1961,jan-61,1961,0,1,6,,,,,,,
06/01/61,"3,80",1,1961,jan-61,1961,"3,8",1,6,,,,,,,
07/01/61,"1,60",1,1961,jan-61,1961,"1,6",1,"5,45714285714286",,,,,,,
08/01/61,"0,00",1,1961,jan-61,1961,0,1,"5,22857142857143",,,,,,,
09/01/61,"0,00",1,1961,jan-61,1961,0,1,"5,22857142857143",,,,,,,
10/01/61,"26,90",1,1961,jan-61,1961,"26,9",1,"5,22857142857143",,,,,,,
11/01/61,"9,70",1,1961,jan-61,1961,"9,7",1,"1,38571428571429",,,,,,,
12/01/61,"0,00",1,1961,jan-61,1961,0,1,"2,04285714285714",,,,,,,
13/01/61,"0,00",1,1961,jan-61,1961,0,1,"2,04285714285714",,,,,,,
14/01/61,"0,00",1,1961,jan-61,1961,0,1,"2,04285714285714",,,,,,,
15/01/61,"0,00",1,1961,jan-61,1961,0,1,"4,02857142857143",,,,,,,
16/01/61,"0,00",1,1961,jan-61,1961,0,1,"4,02857142857143",,,,,,,
17/01/61,"0,00",1,1961,jan-61,1961,0,1,"4,02857142857143",,,,,,,
18/01/61,"14,30",1,1961,jan-61,1961,"14,3",1,"4,02857142857143",,,,,,,
19/01/61,"0,00",1,1961,jan-61,1961,0,1,2,,,,,,,
20/01/61,"0,00",1,1961,jan-61,1961,0,1,2,,,,,,,
21/01/61,"13,90",1,1961,jan-61,1961,"13,9",1,2,,,,,,,
22/01/61,"0,00",1,1961,jan-61,1961,0,1,"0,014285714285714",,,,,,,
23/01/61,"0,00",1,1961,jan-61,1961,0,1,"0,014285714285714",,,,,,,
24/01/61,"0,00",1,1961,jan-61,1961,0,1,"0,014285714285714",,,,,,,
25/01/61,"0,10",1,1961,jan-61,1961,"0,1",1,"0,014285714285714",,,,,,,
26/01/61,"0,00",1,1961,jan-61,1961,0,1,0,,,,,,,
27/01/61,"0,00",1,1961,jan-61,1961,0,1,"3,94285714285714",,,,,,,
28/01/61,"0,00",1,1961,jan-61,1961,0,1,"3,94285714285714",,,,,,,
29/01/61,"0,00",1,1961,jan-61,1961,0,1,"3,94285714285714",,,,,,,
30/01/61,"0,00",1,1961,jan-61,1961,0,1,"3,94285714285714",,,,,,,
31/01/61,"0,00",1,1961,jan-61,1961,0,1,"3,94285714285714",,,,,,,
01/02/61,"0,00",2,1961,fev-61,1961,0,1,"4,12857142857143",,,,,,,
02/02/61,"27,60",2,1961,fev-61,1961,"27,6",1,"4,3",,,,,,,
03/02/61,"0,00",2,1961,fev-61,1961,0,1,"0,357142857142857",,,,,,,
04/02/61,"0,00",2,1961,fev-61,1961,0,1,"0,357142857142857",,,,,,,
05/02/61,"0,00",2,1961,fev-61,1961,0,1,"5,22857142857143",,,,,,,
06/02/61,"0,00",2,1961,fev-61,1961,0,1,"5,22857142857143",,,,,,,
07/02/61,"1,30",2,1961,fev-61,1961,"1,3",1,"5,22857142857143",,,,,,,
08/02/61,"1,20",2,1961,fev-61,1961,"1,2",1,"5,04285714285714",,,,,,,
09/02/61,"0,00",2,1961,fev-61,1961,0,1,"4,87142857142857",,,,,,,
10/02/61,"0,00",2,1961,fev-61,1961,0,1,"4,87142857142857",,,,,,,
11/02/61,"34,10",2,1961,fev-61,1961,"34,1",1,"4,87142857142857",,,,,,,
12/02/61,"0,00",2,1961,fev-61,1961,0,1,0,,,,,,,
13/02/61,"0,00",2,1961,fev-61,1961,0,1,"0,514285714285714",,,,,,,
14/02/61,"0,00",2,1961,fev-61,1961,0,1,"0,514285714285714",,,,,,,
15/02/61,"0,00",2,1961,fev-61,1961,0,1,"0,514285714285714",,,,,,,
16/02/61,"0,00",2,1961,fev-61,1961,0,1,"4,67142857142857",,,,,,,
17/02/61,"0,00",2,1961,fev-61,1961,0,1,"5,08571428571429",,,,,,,
